municipio,mesorregiao,populacao,doses_distribuidas,primeira_dose,primeira_dose_percapita,segunda_dose,segunda_dose_percapita
NOVA CAMPINA,Itapetininga,9860,3602,1819,18.45,777,7.88
VÁRZEA PAULISTA,Macro Metropolitana Paulista,123071,46710,22649,18.4,9741,7.91
FERRAZ DE VASCONCELOS,Metropolitana de São Paulo,196500,72548,35247,17.94,14686,7.47
LOUVEIRA,Macro Metropolitana Paulista,49993,16816,8885,17.77,3912,7.83
LUÍS ANTÔNIO,Ribeirão Preto,15292,5360,2678,17.51,1294,8.46
QUELUZ,Vale do Paraíba Paulista,13606,5479,2379,17.48,1309,9.62
NOVAIS,São José do Rio Preto,5945,2083,1028,17.29,597,10.04
POTIM,Vale do Paraíba Paulista,25130,8784,4275,17.01,1923,7.65
CABREÚVA,Macro Metropolitana Paulista,50429,19254,8545,16.94,4281,8.49
GUAREÍ,Itapetininga,18887,6948,3199,16.94,1507,7.98
ITAPEVI,Metropolitana de São Paulo,240961,84634,38534,15.99,17393,7.22
ITAQUAQUECETUBA,Metropolitana de São Paulo,375011,130069,59468,15.86,23177,6.18
RIO GRANDE DA SERRA,Metropolitana de São Paulo,51436,20275,8123,15.79,3416,6.64
RIOLÂNDIA,São José do Rio Preto,12689,4999,2000,15.76,1195,9.42
ARAÇARIGUAMA,Macro Metropolitana Paulista,22860,8136,3586,15.69,1679,7.34
PALMARES PAULISTA,São José do Rio Preto,13486,4283,2106,15.62,877,6.5
PONTAL,Ribeirão Preto,50852,16027,7867,15.47,3437,6.76
LAVÍNIA,Araçatuba,12285,3940,1878,15.29,831,6.76
PRACINHA,Presidente Prudente,4212,1343,641,15.22,256,6.08
IARAS,Bauru,9517,3595,1437,15.1,623,6.55
IPERÓ,Macro Metropolitana Paulista,37964,12943,5664,14.92,2860,7.53
BALBINOS,Bauru,5934,1879,571,9.62,311,5.24
